N,TCS,TAM
100,3.435402e-02,3.087044e-04
144,9.294739e-02,6.007671e-04
189,2.135033e-01,1.039886e-03
233,4.275643e-01,1.544189e-03
278,7.397433e-01,2.430201e-03
322,1.187471e+00,3.575897e-03
367,1.821519e+00,4.640436e-03
411,3.425460e+00,1.805229e-02
456,3.949947e+00,7.997465e-03
500,5.046645e+00,9.584141e-03
