N,TCS,TAM,TLM
100,2.562600e-03,8.000000e-06,5.200000e-06
144,6.921200e-03,3.000000e-05,1.920000e-05
189,1.653340e-02,5.620000e-05,2.240000e-05
233,3.208260e-02,9.980000e-05,3.600000e-05
278,4.952080e-02,1.452000e-04,4.540000e-05
322,7.444480e-02,1.956000e-04,5.620000e-05
367,1.151298e-01,2.822000e-04,6.460000e-05
411,2.107752e-01,3.642000e-04,8.240000e-05
456,2.343746e-01,4.832000e-04,9.320000e-05
500,3.037808e-01,5.512000e-04,9.560000e-05
