N,TCS,TAM
100,1.510574e-03,3.627910e-04
144,1.048756e-03,6.818740e-05
188,3.821736e-03,1.829970e-04
232,4.920794e-03,2.450988e-04
276,1.066926e-02,3.341322e-04
320,1.769073e-02,5.552484e-04
364,3.064672e-02,8.516424e-04
408,5.310599e-02,3.496394e-04
452,7.948975e-02,5.840076e-04
496,1.102606e-01,1.215514e-03
