N,TCS,TAM
100,1.035090e-03,2.313394e-04
280,1.842428e-02,1.073571e-03
460,8.881385e-02,1.036916e-03
640,2.521495e-01,1.293554e-03
820,5.616272e-01,4.156889e-03
1000,1.049845e+00,2.615773e-03
