N,TCS,TAM,TLM
100,2.395600e-03,1.040000e-05,5.600000e-06
280,5.709100e-02,2.250000e-04,8.780000e-05
460,2.562620e-01,6.100000e-04,1.850000e-04
640,7.666730e-01,1.186200e-03,2.852000e-04
820,1.732391e+00,2.101800e-03,4.666000e-04
1000,3.849549e+00,3.127600e-03,5.992000e-04
