N,TCS,TAM
100,3.244658e-02,2.755642e-04
280,7.904668e-01,2.793360e-03
460,4.512425e+00,9.658003e-03
640,1.319122e+01,2.279167e-02
820,2.667487e+01,3.605061e-02
1000,5.049303e+01,5.502105e-02
