N,TCS,TAM
100,2.991893e-02,2.645969e-04
151,1.053573e-01,6.639481e-04
227,3.774099e-01,1.604462e-03
342,1.340858e+00,3.846240e-03
515,5.440052e+00,9.579134e-03
776,1.906136e+01,2.558680e-02
1170,7.090968e+01,7.020247e-02
1762,2.676429e+02,1.633064e-01
2655,9.597609e+02,4.016044e-01
4000,4.463114e+03,1.063169e+00
