N,TCS,TAM,TLM
100,4.240000e-04,5.600000e-06,3.400000e-06
151,1.777700e-03,3.710000e-05,1.360000e-05
227,5.808300e-03,8.100000e-05,2.390000e-05
342,1.940220e-02,2.364000e-04,6.070000e-05
515,6.704630e-02,6.155000e-04,9.930000e-05
776,3.672738e-01,1.415600e-03,2.131000e-04
1170,1.248302e+00,2.766500e-03,3.783000e-04
1762,4.813494e+00,4.269100e-03,8.740000e-04
2655,5.521331e+01,6.993300e-03,1.883100e-03
4000,2.213813e+02,1.185420e-02,2.147000e-03
