N,TCS,TAM
100,1.290640e-03,1.417400e-04
422,1.105417e-01,7.505700e-04
744,6.394800e-01,1.461200e-03
1066,1.882892e+00,3.368600e-03
1388,4.384869e+00,3.843520e-03
1710,1.606301e+01,6.395230e-03
2032,3.481878e+01,1.002642e-02
2354,6.853302e+01,2.041972e-02
2676,1.018197e+02,2.546284e-02
2998,1.490615e+02,3.069180e-02
