N,TCS,TAM
100,5.185444e-02,4.255533e-04
422,4.095659e+00,8.596539e-03
744,2.280724e+01,2.986851e-02
1067,6.964556e+01,6.120875e-02
1389,1.569834e+02,1.056067e-01
1711,3.020627e+02,1.559596e-01
2033,5.106975e+02,2.419864e-01
2356,7.756114e+02,3.313765e-01
2678,1.097699e+03,4.258895e-01
3000,1.528773e+03,5.569830e-01
