N,TCS,TAM
100,9.603634e-04,1.464854e-04
422,5.539532e-02,7.383330e-04
744,3.434864e-01,1.958714e-03
1066,1.053307e+00,3.937754e-03
1388,2.626308e+00,4.119574e-03
1710,1.235360e+01,5.913584e-03
2032,2.698218e+01,9.084751e-03
2354,5.169390e+01,2.067653e-02
2676,7.526691e+01,2.181147e-02
2998,1.138663e+02,2.303914e-02
