N,TCS,TAM
100,2.714181e-02,2.345085e-04
422,2.492026e+00,5.876708e-03
744,1.469870e+01,2.088478e-02
1067,4.419024e+01,5.488558e-02
1389,1.008855e+02,9.284310e-02
1711,1.972231e+02,1.546507e-01
2033,3.557764e+02,2.209065e-01
2356,5.718298e+02,3.027564e-01
2678,8.404647e+02,3.769886e-01
3000,1.159496e+03,5.329375e-01
