N,TCS,TAM
100,3.149223e-02,2.777100e-04
144,9.680405e-02,7.420063e-04
189,2.199697e-01,1.057768e-03
233,4.142131e-01,1.708412e-03
278,7.597938e-01,2.779055e-03
322,1.217929e+00,4.052114e-03
367,1.901942e+00,5.404997e-03
411,2.719567e+00,6.550360e-03
456,3.802789e+00,7.616615e-03
500,5.172653e+00,9.752274e-03
