N,TCS,TAM,TLM
100,1.213500e-03,5.000000e-05,1.700000e-05
200,1.175400e-02,1.970000e-04,5.500000e-05
300,4.174650e-02,4.710000e-04,1.010000e-04
400,1.082990e-01,8.465000e-04,1.560000e-04
500,3.047340e-01,1.345500e-03,2.280000e-04
600,1.453541e+00,1.766400e-02,3.330000e-04
700,2.147423e+00,2.665500e-03,4.730000e-04
800,3.972927e+00,1.852900e-02,5.945000e-04
900,5.849194e+00,4.980100e-02,9.205000e-04
1000,8.100165e+00,3.805200e-02,9.620000e-04
