N,TCS,TAM
100,1.371828e-01,9.235144e-04
200,1.042825e+00,2.861929e-02
300,3.138124e+00,5.222738e-02
400,7.414254e+00,3.449821e-02
500,1.493785e+01,8.500469e-02
600,2.665838e+01,9.389544e-02
700,4.242466e+01,8.526409e-02
800,6.426514e+01,1.507529e-01
900,9.511992e+01,1.679279e-01
1000,1.307729e+02,1.553537e-01
