N,TCS,TAM
100,9.460717e-03,5.099435e-04
200,6.582218e-02,2.079713e-03
300,1.076438e-01,1.310325e-03
400,2.904560e-01,2.240066e-03
500,5.005687e-01,2.166407e-02
600,8.108414e-01,1.424346e-02
700,1.216074e+00,4.111930e-02
800,3.030191e+00,2.005899e-02
900,5.396008e+00,3.929740e-02
1000,7.752267e+00,2.133024e-02
