N,TCS,TAM,TLM
100,1.151850e-02,6.900000e-05,2.200000e-05
200,7.104150e-02,2.235000e-04,5.550000e-05
300,2.433330e-01,4.730000e-04,1.045000e-04
400,6.525975e-01,8.695000e-04,2.015000e-04
500,1.128400e+00,1.301500e-03,2.235000e-04
600,2.061581e+00,1.923500e-03,3.490000e-04
700,3.467556e+00,2.695000e-03,5.065000e-04
800,4.873824e+00,6.702500e-03,6.445000e-04
900,6.914732e+00,3.756550e-02,7.590000e-04
1000,9.730051e+00,4.440050e-02,1.043000e-03
