N,TCS,TAM
100,3.047917e-02,3.044844e-04
422,2.788398e+00,7.036066e-03
744,1.666810e+01,2.452559e-02
1067,5.175494e+01,5.996585e-02
1389,1.242414e+02,1.016979e-01
1711,2.410827e+02,1.761589e-01
2033,4.137153e+02,2.534693e-01
2356,6.501372e+02,3.557668e-01
2678,9.673207e+02,4.432387e-01
3000,1.402062e+03,6.224163e-01
