N,TCS,TAM,TLM
100,2.406000e-03,2.470000e-05,3.500000e-06
422,1.753638e-01,6.549000e-04,8.880000e-05
744,1.146427e+00,2.154400e-03,2.675000e-04
1067,3.231292e+00,4.367600e-03,4.167000e-04
1389,7.270689e+00,6.671000e-03,6.172000e-04
1711,1.745176e+01,9.882000e-03,9.521000e-04
2033,3.795925e+01,1.446880e-02,1.161500e-03
2356,6.574929e+01,1.959470e-02,1.376400e-03
2678,1.068905e+02,2.705780e-02,1.581700e-03
3000,1.667619e+02,3.450590e-02,1.377700e-03
