N,TCS,TAM,TLM
100,4.785000e-04,1.290000e-05,4.600000e-06
422,3.705760e-02,5.879000e-04,8.550000e-05
744,2.916066e-01,1.728000e-03,3.083000e-04
1067,8.927804e-01,3.378800e-03,4.245000e-04
1389,1.978199e+00,5.096300e-03,6.816000e-04
1711,4.312382e+00,7.314100e-03,9.902000e-04
2033,1.158962e+01,1.014600e-02,1.312400e-03
2356,2.932673e+01,1.377850e-02,1.495600e-03
2678,6.196302e+01,1.857960e-02,1.792800e-03
3000,9.141094e+01,2.370460e-02,1.982300e-03
