N,TCS,TAM,TLM
100,2.313600e-03,2.590000e-05,4.900000e-06
422,1.719715e-01,6.805000e-04,9.450000e-05
744,1.126635e+00,2.237600e-03,2.622000e-04
1067,3.151601e+00,4.214700e-03,4.198000e-04
1389,7.283558e+00,6.552800e-03,6.516000e-04
1711,1.744346e+01,9.964700e-03,9.289000e-04
2033,3.806036e+01,1.388020e-02,1.237500e-03
2356,6.519036e+01,1.942020e-02,1.463300e-03
2678,1.062021e+02,2.581960e-02,1.625300e-03
3000,1.653492e+02,3.489240e-02,1.324500e-03
