N,TCS,TAM
100,5.421629e-02,4.824638e-04
200,4.294607e-01,1.991844e-03
300,1.445794e+00,5.185270e-03
400,4.079795e+00,1.112132e-02
500,8.270253e+00,1.810331e-02
