N,TCS,TAM
100,3.061710e-03,3.829030e-04
200,6.993500e-03,3.396514e-04
300,3.786680e-02,6.395076e-04
400,8.873325e-02,1.098586e-03
500,1.888437e-01,2.220669e-03
