N,TCS,TAM,TLM
100,5.606000e-04,2.260000e-05,5.800000e-06
200,6.205600e-03,1.976000e-04,5.780000e-05
300,1.801120e-02,3.606000e-04,1.000000e-04
400,4.683080e-02,9.310000e-04,1.984000e-04
500,9.959080e-02,1.053600e-03,2.282000e-04
