N,TCS,TAM,TLM
100,4.453000e-04,6.800000e-06,4.100000e-06
178,2.405700e-03,8.160000e-05,3.000000e-05
316,2.830830e-02,3.147000e-04,1.162000e-04
562,1.170124e-01,1.103100e-03,2.997000e-04
1000,9.428545e-01,3.532100e-03,7.427000e-04
