N,TCS,TAM
100,5.549550e-02,5.345345e-04
144,1.653640e-01,8.900642e-04
189,4.136057e-01,1.944351e-03
233,9.165082e-01,3.233910e-03
278,2.190487e+00,7.214451e-03
322,4.478830e+00,1.168380e-02
367,4.307953e+00,1.213617e-02
411,5.029663e+00,1.267209e-02
456,6.711236e+00,1.638050e-02
500,8.482213e+00,1.705136e-02
