N,TCS,TAM,TLM
100,2.324200e-03,2.800000e-05,5.600000e-06
144,6.696800e-03,6.200000e-05,2.060000e-05
189,1.611920e-02,1.114000e-04,2.240000e-05
233,2.829620e-02,1.724000e-04,2.580000e-05
278,4.633000e-02,2.526000e-04,3.400000e-05
322,7.551780e-02,3.732000e-04,5.320000e-05
367,1.190944e-01,5.026000e-04,7.140000e-05
411,1.979810e-01,7.724000e-04,1.338000e-04
456,2.510426e-01,8.712000e-04,1.166000e-04
500,3.295118e-01,1.073400e-03,1.332000e-04
