N,TCS,TAM,TLM
100,3.448000e-04,1.660000e-05,3.400000e-06
144,1.003200e-03,4.120000e-05,1.780000e-05
189,3.639000e-03,7.100000e-05,2.040000e-05
233,6.437200e-03,1.134000e-04,3.260000e-05
278,9.952000e-03,1.812000e-04,3.480000e-05
322,1.542620e-02,2.108000e-04,4.320000e-05
367,2.259960e-02,2.742000e-04,4.340000e-05
411,4.669220e-02,3.608000e-04,6.280000e-05
456,4.619920e-02,4.914000e-04,7.940000e-05
500,6.951340e-02,6.542000e-04,1.092000e-04
