N,TCS,TAM
100,2.396576e-03,2.797536e-04
144,1.647988e-03,1.159174e-04
188,5.345225e-03,2.308480e-04
232,7.330406e-03,2.840274e-04
276,1.365503e-02,3.780440e-04
320,2.055668e-02,6.218410e-04
364,3.413333e-02,8.513564e-04
408,6.511478e-02,4.714052e-04
452,9.588279e-02,6.703984e-04
496,1.148221e-01,1.248876e-03
