N,TCS,TAM
100,1.423328e-01,8.959055e-04
200,9.571706e-01,3.377342e-03
300,3.093514e+00,8.356977e-03
400,7.451026e+00,1.714010e-02
500,1.510119e+01,2.856753e-02
