N,TCS,TAM,TLM
100,9.082200e-03,1.920000e-05,1.510000e-05
200,6.972140e-02,1.873000e-04,5.760000e-05
300,2.298665e-01,4.512000e-04,1.045000e-04
400,5.290976e-01,7.590000e-04,1.573000e-04
500,1.081822e+00,1.209000e-03,2.567000e-04
