N,TCS,TAM
100,3.097127e-03,3.196821e-04
200,1.738319e-02,4.052887e-04
300,1.000660e-01,1.092580e-03
400,2.406964e-01,1.839725e-03
500,4.477951e-01,3.250340e-03
