N,TCS,TAM
100,1.093674e-03,3.015995e-04
1075,8.634369e-01,6.954446e-02
2050,1.661417e+01,2.471230e-01
3025,9.157314e+01,6.074468e-01
4000,3.470229e+02,1.242678e+00
