N,TCS,TAM,TLM
100,4.650000e-04,2.900000e-05,4.000000e-06
200,4.484000e-03,9.400000e-05,3.800000e-05
300,1.602900e-02,2.910000e-04,6.300000e-05
400,3.693100e-02,4.170000e-04,8.700000e-05
500,6.390400e-02,6.140000e-04,3.130000e-04
600,1.206430e-01,7.780000e-04,1.910000e-04
700,2.555370e-01,1.033000e-03,2.660000e-04
800,3.707460e-01,1.384000e-03,3.070000e-04
900,5.569190e-01,1.979000e-03,4.100000e-04
1000,7.245520e-01,2.583000e-03,4.140000e-04
