N,TCS,TAM,TLM
100,2.446000e-03,2.900000e-05,4.000000e-06
200,2.069600e-02,8.600000e-05,6.100000e-05
300,6.098400e-02,2.540000e-04,5.800000e-05
400,1.461020e-01,3.520000e-04,8.500000e-05
500,2.991480e-01,5.600000e-04,1.370000e-04
600,5.957580e-01,8.280000e-04,2.060000e-04
700,9.439400e-01,1.125000e-03,2.680000e-04
800,1.532222e+00,1.449000e-03,3.550000e-04
900,2.352888e+00,1.920000e-03,3.990000e-04
1000,3.126594e+00,2.403000e-03,4.620000e-04
