N,TCS,TAM
100,3.080559e-02,2.739429e-04
200,2.538736e-01,1.438856e-03
300,9.476509e-01,3.062487e-03
400,2.434838e+00,7.591248e-03
500,5.329470e+00,1.255250e-02
600,8.945158e+00,2.109885e-02
700,1.441347e+01,2.994800e-02
800,2.311495e+01,3.679895e-02
900,3.465266e+01,4.739404e-02
1000,4.585703e+01,5.566406e-02
