N,TCS,TAM
100,3.185391e-02,3.404617e-04
150,1.224160e-01,7.877350e-04
224,3.925858e-01,2.125978e-03
334,1.518577e+00,5.061150e-03
500,5.553833e+00,1.316905e-02
