N,TCS,TAM
100,3.535841e-03,2.265340e-04
150,1.818541e-03,4.795270e-04
224,6.447052e-03,1.154457e-03
334,2.220284e-02,2.689087e-03
500,1.079079e-01,1.441193e-03
