N,TCS,TAM,TLM
100,2.427300e-03,6.100000e-06,4.000000e-06
422,1.817524e-01,3.959000e-04,9.080000e-05
744,1.169128e+00,1.292100e-03,2.819000e-04
1067,3.288330e+00,2.472000e-03,5.103000e-04
1389,7.471922e+00,3.231700e-03,7.145000e-04
1711,1.729415e+01,4.010800e-03,1.088000e-03
2033,3.794518e+01,4.781500e-03,1.280400e-03
2356,6.694013e+01,5.893000e-03,1.758500e-03
2678,1.063179e+02,6.589900e-03,1.693900e-03
3000,1.677319e+02,7.674100e-03,1.720700e-03
