N,TCS,TAM,TLM
100,8.759000e-04,2.100000e-05,9.300000e-06
422,8.503700e-02,4.135000e-04,1.042000e-04
744,7.660914e-01,1.960000e-03,3.919000e-04
1067,2.226657e+00,4.464800e-03,4.578000e-04
1389,5.574799e+00,7.948100e-03,7.748000e-04
1711,1.604998e+01,1.331610e-02,2.058100e-03
2033,3.375161e+01,1.823800e-02,1.994100e-03
2356,4.975582e+01,2.373490e-02,2.644800e-03
2678,7.678646e+01,2.994830e-02,3.241100e-03
3000,1.191691e+02,3.536570e-02,4.163500e-03
