N,TCS,TAM
100,1.134566e-01,9.005547e-04
422,9.319423e+00,1.863070e-02
744,5.556227e+01,6.034541e-02
1067,1.674043e+02,1.490995e-01
1389,3.771265e+02,2.511182e-01
1711,7.100006e+02,4.096878e-01
2033,1.214880e+03,5.555073e-01
2356,1.908775e+03,7.527970e-01
2678,2.845498e+03,9.528714e-01
3000,4.066530e+03,1.101580e+00
