N,TCS,TAM
10,3.719330e-05,1.335144e-05
100,3.075886e-02,3.979206e-04
500,7.814283e+00,1.677847e-02
1000,4.930152e+01,5.987120e-02
1500,1.803610e+02,1.320617e-01
2000,4.220667e+02,2.394340e-01
2500,8.461072e+02,3.769906e-01
3000,1.601460e+03,6.509376e-01
