N,TCS,TAM,TLM
10,0.000000E+00,1.000000E-06,0.000000E+00
100,3.290000E-04,3.400000E-05,4.000000E-06
500,7.314700E-02,7.770000E-04,1.340000E-04
1000,8.220570E-01,3.840000E-03,4.090000E-04
1500,6.911696E+00,5.780000E-03,1.002000E-03
2000,1.442239E+01,6.052000E-03,2.037000E-03
2500,4.720031E+01,8.141000E-03,2.924000E-03
3000,1.013355E+02,1.039200E-02,4.658000E-03
