N,TCS,TAM
10,2.1709E-5,6.257E-6
100,0.003203535,2.20695E-4
500,0.104465369,0.005536912
1000,0.854491662,0.005804766
1500,5.282806872,0.010199739
2000,41.644022977,0.020644645
2500,99.940662314,0.032342375
3000,208.316530456,0.036439147
