N,TCS,TAM,TLM
100,2.470600e-03,5.900000e-06,3.700000e-06
422,1.786148e-01,3.954000e-04,1.127000e-04
744,1.190214e+00,1.339000e-03,2.925000e-04
1067,3.320172e+00,2.588400e-03,5.266000e-04
1389,7.764086e+00,3.403100e-03,8.375000e-04
1711,1.950762e+01,4.171100e-03,1.058200e-03
2033,4.261114e+01,5.069900e-03,1.350300e-03
2356,6.893482e+01,5.906700e-03,1.675500e-03
2678,1.084283e+02,6.873400e-03,1.764000e-03
3000,1.684432e+02,8.232300e-03,1.663800e-03
