N,TCS,TAM
100,9.743608e-04,1.235845e-04
422,5.944635e-02,6.992716e-04
744,3.709694e-01,2.473899e-03
1066,1.215218e+00,2.747056e-03
1388,5.375831e+00,3.978215e-03
1710,1.993849e+01,6.339336e-03
2032,4.394178e+01,1.450912e-02
2354,7.445236e+01,1.286261e-02
2676,1.221907e+02,3.962309e-02
2998,1.740170e+02,4.577522e-02
