N,TCS,TAM,TLM
100,3.416000e-04,5.500000e-06,2.600000e-06
422,4.428730e-02,4.231000e-04,1.326000e-04
744,3.019576e-01,1.344800e-03,2.983000e-04
1067,9.308283e-01,2.553500e-03,4.977000e-04
1389,2.007809e+00,3.297500e-03,7.678000e-04
1711,4.485716e+00,3.991100e-03,1.119100e-03
2033,1.169110e+01,4.865500e-03,1.419300e-03
2356,2.932222e+01,5.723000e-03,2.011100e-03
2678,6.222376e+01,6.773800e-03,2.056000e-03
3000,9.071781e+01,7.598800e-03,2.186600e-03
