N,TCS,TAM
100,9.065379e-04,1.177454e-04
422,5.335719e-02,9.594372e-04
744,3.472574e-01,2.047427e-03
1066,1.091543e+00,3.034164e-03
1388,3.526605e+00,5.307684e-03
1710,1.678523e+01,6.889867e-03
2032,3.905264e+01,2.067634e-02
2354,6.746834e+01,1.988467e-02
2676,1.069785e+02,3.598032e-02
2998,1.531063e+02,4.713002e-02
