N,TCS,TAM
100,2.671428e-02,2.414703e-04
422,2.560000e+00,6.385541e-03
744,1.673670e+01,2.123861e-02
1067,5.124889e+01,5.442779e-02
1389,1.238793e+02,9.237332e-02
1711,2.388148e+02,1.536272e-01
2033,4.124723e+02,5.491495e-01
2356,6.444130e+02,3.152152e-01
2678,9.632124e+02,3.929269e-01
3000,1.411436e+03,5.646546e-01
