N,TCS,TAM
100,3.025980e-02,2.593994e-04
422,2.968036e+00,6.776834e-03
744,1.688490e+01,2.270699e-02
1067,5.184246e+01,5.794797e-02
1389,1.240314e+02,9.760003e-02
1711,2.402710e+02,1.607298e-01
2033,4.105402e+02,2.413499e-01
2356,6.450429e+02,3.260780e-01
2678,9.381503e+02,4.177228e-01
3000,1.343532e+03,5.534283e-01
