N,TCS,TAM,TLM
100,4.320000e-04,6.400000e-06,3.200000e-06
178,2.447600e-03,7.310000e-05,3.500000e-05
316,2.556140e-02,3.077000e-04,1.188000e-04
562,1.109542e-01,1.014100e-03,2.210000e-04
1000,8.380888e-01,3.450700e-03,5.314000e-04
